,text_chunk,question,ground_truth_doc_id
0,"En la **cuadratura de Gauss**, el problema se plantea en el **dominio unitario `[-1, 1]`**. Este método busca determinar tanto los coeficientes como los puntos de evaluación de la función. La idea es hallar los valores de abscisas `t1, t2, ...` y coeficientes `w1, w2, ...` para aproximar la integral `Integral from -1 to 1 of G(t) dt`.",¿En qué dominio se plantea el problema de la cuadratura de Gauss?,chunk_22
1,"El objetivo principal es encontrar la **integral definida** `I` en `R`, dada por `I = Integral from X0 to Xn of f(x) dx`.
Basándose en la relación `Integral(f(x)dx) = Integral(Pn(x)dx) + Integral(En(x)dx)`, la integral definida `I` se evalúa como la suma:
`I = In + En`
Donde `In` se denomina **cuadratura** y `En` es el **error de truncamiento**.  
Todos los métodos de integración numérica comparten la estructura en la que la cuadratura `In` se expresa como una suma:
`In = sum(wj * f(xj))`
Los **coeficientes `wj`** se determinan según cada regla. El **orden de la regla de cuadratura** se define como el máximo grado del polinomio que dicha regla integra de forma exacta, es decir, para el cual `En = 0`.  
Existen dos tipos principales de cuadratura:",¿Cómo se define el orden de la regla de cuadratura?,chunk_6
2,"La regla de dos puntos se puede generalizar a más puntos. Se proporciona una tabla con las abscisas (`ti`) y coeficientes (`wi`) para 2, 3 y 4 puntos de Gauss, y el orden de la derivada del error de truncamiento.  
*   **2 puntos:** Abscisas `+-0.577350269`, Coeficientes `1.0`, Orden de error `4`.
*   **3 puntos:** Abscisas `0`, `+-0.774596669`, Coeficientes `0.8888889`, `0.5555556`, Orden de error `6`.
*   **4 puntos:** Abscisas `+-0.339981044`, `+-0.861136312`, Coeficientes `0.6521452`, `0.3478548`, Orden de error `8`.",¿Cuál es el orden de error de truncamiento para la regla de 2 puntos de Gauss?,chunk_24
3,"Dada una matriz \(A\) (NxN), se asume que \(\lambda_i , v_i\) son los autovalores y autovectores de \(A\) (el índice \(i\) varía de 1 a N). Se verifica que \(A v_i = \lambda_i v_i \forall i = 1,...,N\). Si \(A\) es diagonalizable, los \( v_i\) son linealmente independientes y forman una base. Cualquier vector \(x\) puede escribirse como una combinación lineal: \(x = a_1 v_1 + a_2 v_2 + ... + a_N v_N\). Al premultiplicar k veces el vector \(x\) por la matriz \(A\), se obtiene: \(x_k = A^k x = a_1 \lambda_1^k v_1 + a_2 \lambda_2^k v_2 + ... + a_N \lambda_N^k v_N\) Esto puede reescribirse como: \(x_k = \lambda_1^k (a_1 v_1 + a_2 (\lambda_2/\lambda_1)^k v_2 + ... + a_N (\lambda_N/\lambda_1)^k v_N)\) Asumiendo que \(|\lambda_1| > |\lambda_2| \geq ... \geq |\lambda_N|\), se cumple que \(lim_{k\to\inf} (\lambda_i/\lambda_1)^k = 0 , i \neq 1\). Esto significa que, a partir de cualquier vector, por sucesivas premultiplicaciones por \(A\), los vectores obtenidos se van alineando cada vez más con el **autovector dominante** \(v_1\). Así, \(x_k \approx \lambda_1^k a_1 v_1\) para k suficientemente grande. El cociente entre las componentes j del vector \(x\) en la iteracion k+1 y el vector en la interacion anterior k, es decir, \(x_{k+1}(j) / x_k(j) \) tiende al **autovalor dominante** \(\lambda_1\). **Notas importantes:** - Hay **convergencia** al autovalor \(\lambda_1\) de mayor valor absoluto. - Si \(a_1 = 0\), la convergencia no se produce o es muy lenta. - Para valores de iteracion k grandes, las componentes de \(x_k\) pueden ser muy grandes (si \(|\lambda_1| > 1\)) o muy chicas (si \(|\lambda_1| < 1\)), ya que son proporcionales a \(\lambda_1^k\). Para evitar esto, se utiliza un **escalamiento** en cada iteración. Para realizar el escalamiento, se normaliza el vector \(x\) diviviendo por su norma, \(x_n = x / ||x||\) de manera que \(||x_n|| = 1\). El escalamiento en cada iteración asegura que las componentes de los vectores no aumenten (disminuyan) excesivamente, **asegurando la convergencia**.",¿Para qué se utiliza el escalamiento en cada iteración?,chunk_1
4,"La **regla de Simpson** es una regla de **orden 3**, lo que significa que integra de forma exacta polinomios de grado hasta 3. Permite aproximar la integral `I` mediante la fórmula:
`I = h/3 * (f(x0) + 4*f(x1) + f(x2)) - h^5/90 * f^(4)(xi)`
Donde `xi` es un valor entre `x0` y `x2`.",¿De qué orden es la regla de Simpson?,chunk_17
5,"La **extrapolación de Richardson** es una técnica para **mejorar la aproximación de una integral** (o derivada) cuando se tienen dos aproximaciones obtenidas con pasos diferentes (`h1` y `h2`).
Si una regla tiene un error del orden de `h^n`, y `h2 = h1 / R` (donde R es un factor), la mejorada integral `I_mejorado` se calcula como:
`I_mejorado = (R^n * I(h_small) - I(h_large)) / (R^n - 1)`
El error de la nueva aproximación es de un orden superior. Por ejemplo, para la regla de trapecios compuesta (error `O(h^2)`), la extrapolación de Richardson da un error `O(h^4)`. Para la regla de Simpson compuesta (error `O(h^4)`), el error resultante es `O(h^6)`.",¿Para qué sirve la extrapolación de Richardson?,chunk_25
6,"El error `E1` al calcular la integral definida de `f(x)` entre `xa` y `xb` por el método de los trapecios se deriva de la integral del error de interpolación `E1(x)`.
Al realizar un cambio de variable al dominio `t` en ``, se obtiene la expresión del error:
`E1 = -h^3/12 * f''(xi)` para cierto punto `xi` en `(xa, xb)`.
Se dice que el **error en la regla de trapecios es del orden de `h^3`: O(h^3)**. Es importante no confundir el orden de la regla de integración (1) con el orden del error (O(h^3)).",¿Cuál es el orden del error en la regla de trapecios?,chunk_12
7,"Partiendo de la definición `E1 = I - I1` y desarrollando la función primitiva `G(x)` en serie de Taylor alrededor de `xi`, se confirma que el **error en la regla de trapecios es O(h^3)**.",¿Cuál es el error en la regla de trapecios?,chunk_13
8,"Para la regla de dos puntos, se proponen `w1*G(t1) + w2*G(t2)`. Los valores `w1, w2, t1, t2` se determinan de manera que el error de integración sea `R = 0` para polinomios de hasta 3er grado.
Las soluciones son: `t1 = -1/sqrt(3)`, `t2 = 1/sqrt(3)`, `w1 = 1`, `w2 = 1`.
La regla queda: `I = h * (f(c - h/sqrt(3)) + f(c + h/sqrt(3)))`.",¿Para polinomios de hasta qué grado es el error de integración R = 0 en la regla de dos puntos?,chunk_23
9,"Un problema de **Valores y Vectores Propios** consiste en encontrar los vectores \(v\) tales que son direcciones invariantes de la transformación lineal dada por la matriz \(A\) (NxN). Esto se expresa como: \(A v = \lambda v \) siendo \(\lambda\) el escalar que cambia el módulo del vector cuya dirección permanece invariante. Se denomina **autovalor** \( \lambda \) y **autovector** \(v\). El sistema de ecuaciones puede escribirse de la forma: \((A - \lambda I) v = 0 \) donde interesan las soluciones \(v\) distintas de la trivial,\(v = 0\). Esto está garantizado sí y sólo sí \(det(A - \lambda I) = 0\). El determinante constituye un polinomio de grado N en el autovalor \(\lambda \), y se denomina **polinomio característico**. Las raíces de dicho polinomio son los autovalores \(\lambda \) de la matriz \(A\) para los cuales existen los autovectores o direcciones invariantes \(v\). Por cada valor propio existe al menos una dirección invariante dada por el autovector \(v\).  
Existen diversos métodos para la determinación de los valores y vectores característicos, agrupados en las siguientes categorías:
1. **Métodos de resolución del Polinomio Característico**: Consisten en encontrar las raíces del polinomio característico y, posteriormente, resolver el sistema homogéneo para cada valor propio obtenido como raíz. Es útil para sistemas de bajo orden (N pequeño), ya que a medida que N crece, también lo hace la dificultad para encontrar las raíces.
2. **Métodos de Transformación**: Consisten en transformar la matriz \(A\) en una matriz diagonal mediante procesos de rotaciones y/o traslaciones. Entre los más eficaces se encuentran los métodos de Jacobi, Givens y Householder, que encuentran la totalidad de los valores y vectores propios.
3. **Métodos Iterativos**: Consisten en aproximar sucesivamente los valores y vectores propios. Generalmente, convergen a un valor y vector propio. Para encontrar más de uno, se recurre a técnicas de deflación para eliminar los ya conocidos. El método iterativo tratado en el curso es el **Método de la Potencia**.",¿Cuáles son las tres categorías de métodos para determinar los valores y vectores característicos?,chunk_0
